"집계일자","집계시","영업소코드","입출구구분코드","TCS하이패스구분코드","고속도로운영기관구분코드","영업형태구분코드","1종교통량","2종교통량","3종교통량","4종교통량","5종교통량","6종교통량","총교통량",
"20230210","00","128 ","1","1","00","0","2","0","1","0","0","0","3",
"20230210","00","128 ","1","2","00","0","31","1","1","1","5","1","40",
"20230210","00","129 ","0","1","00","0","20","0","0","0","0","0","20",
"20230210","00","129 ","0","2","00","0","95","2","6","5","2","0","110",
"20230210","00","129 ","1","1","00","0","23","0","1","2","0","4","30",
"20230210","00","129 ","1","2","00","0","184","5","5","15","5","9","223",
"20230210","00","130 ","0","1","00","0","2","0","0","0","0","0","2",
"20230210","00","130 ","0","2","00","0","28","1","0","9","1","2","41",
"20230210","00","130 ","1","1","00","0","4","0","0","0","0","0","4",
"20230210","00","130 ","1","2","00","0","33","3","2","1","3","1","43",
"20230210","00","131 ","0","1","00","0","12","0","0","2","1","0","15",
"20230210","00","131 ","0","2","00","0","125","8","2","13","15","6","169",
"20230210","00","131 ","1","1","00","0","10","0","1","10","0","1","22",
"20230210","00","131 ","1","2","00","0","131","13","7","14","13","7","185",
"20230210","00","132 ","0","1","00","0","3","0","0","1","0","0","4",
"20230210","00","132 ","0","2","00","0","23","1","2","6","6","0","38",
"20230210","00","132 ","1","1","00","0","5","0","0","2","0","1","8",
"20230210","00","132 ","1","2","00","0","20","0","0","2","7","1","30",
"20230210","00","133 ","0","1","00","0","0","0","0","0","1","0","1",
"20230210","00","133 ","0","2","00","0","10","1","2","3","2","0","18",
"20230210","00","133 ","1","1","00","0","1","0","0","3","2","1","7",
"20230210","00","133 ","1","2","00","0","11","0","1","5","2","0","19",
"20230210","00","134 ","0","1","00","0","2","0","0","0","0","0","2",
"20230210","00","134 ","0","2","00","0","6","0","0","2","3","0","11",
"20230210","00","134 ","1","1","00","0","2","0","0","0","1","0","3",
"20230210","00","134 ","1","2","00","0","7","0","0","3","0","1","11",
"20230210","00","135 ","0","1","00","0","3","0","0","3","0","0","6",
"20230210","00","135 ","0","2","00","0","52","8","12","11","17","4","104",
"20230210","00","135 ","1","1","00","0","16","0","1","2","1","1","21",
"20230210","00","135 ","1","2","00","0","65","6","9","21","26","2","129",
"20230210","00","136 ","0","1","00","0","5","0","1","1","0","0","7",
"20230210","00","136 ","0","2","00","0","7","1","1","0","1","0","10",
"20230210","00","136 ","1","1","00","0","6","0","0","0","3","0","9",
"20230210","00","136 ","1","2","00","0","13","0","1","2","2","0","18",
"20230210","00","137 ","0","1","00","0","2","0","0","1","1","0","4",
"20230210","00","137 ","0","2","00","0","22","4","2","4","5","1","38",
"20230210","00","137 ","1","1","00","0","2","0","0","3","2","0","7",
"20230210","00","137 ","1","2","00","0","16","5","0","10","3","0","34",
"20230210","00","138 ","0","1","00","0","7","0","1","0","0","0","8",
"20230210","00","138 ","0","2","00","0","85","38","11","7","7","2","150",
"20230210","00","138 ","1","1","00","0","7","0","0","3","0","1","11",
"20230210","00","138 ","1","2","00","0","58","14","8","16","5","2","103",
"20230210","00","139 ","0","1","00","0","5","0","0","3","0","0","8",
"20230210","00","139 ","0","2","00","0","58","3","0","3","5","3","72",
"20230210","00","139 ","1","1","00","0","9","0","0","3","0","1","13",
"20230210","00","139 ","1","2","00","0","60","4","4","4","1","3","76",
"20230210","00","140 ","0","1","00","0","33","1","1","1","0","0","36",
"20230210","00","140 ","0","2","00","0","288","9","7","3","2","12","321",
"20230210","00","140 ","1","1","00","0","23","1","1","1","0","3","29",
"20230210","00","140 ","1","2","00","0","293","12","10","12","8","19","354",
"20230210","00","142 ","0","1","00","0","3","0","0","0","0","0","3",
"20230210","00","142 ","0","2","00","0","23","1","0","2","1","1","28",
"20230210","00","142 ","1","1","00","0","3","0","0","0","0","0","3",
"20230210","00","142 ","1","2","00","0","28","0","0","0","6","1","35",
"20230210","00","143 ","0","2","00","0","3","0","0","0","1","0","4",
"20230210","00","143 ","1","2","00","0","6","0","0","0","3","0","9",
"20230210","00","144 ","0","1","00","0","4","0","0","0","0","0","4",
"20230210","00","144 ","0","2","00","0","20","1","1","0","1","1","24",
"20230210","00","144 ","1","1","00","0","5","2","0","1","0","0","8",
"20230210","00","144 ","1","2","00","0","21","0","1","0","1","6","29",
"20230210","00","145 ","0","1","00","0","6","0","0","0","0","0","6",
"20230210","00","145 ","0","2","00","0","47","1","1","1","1","3","54",
"20230210","00","145 ","1","1","00","0","7","0","0","3","0","2","12",
"20230210","00","145 ","1","2","00","0","47","0","3","14","1","3","68",
"20230210","00","146 ","0","1","00","0","7","0","0","0","1","0","8",
"20230210","00","146 ","0","2","00","0","44","1","2","2","1","1","51",
"20230210","00","146 ","1","1","00","0","9","0","0","3","1","2","15",
"20230210","00","146 ","1","2","00","0","62","2","1","9","4","1","79",
"20230210","00","147 ","0","1","00","0","5","1","0","1","0","0","7",
"20230210","00","147 ","0","2","00","0","26","5","0","10","2","1","44",
"20230210","00","147 ","1","1","00","0","5","0","0","1","0","0","6",
"20230210","00","147 ","1","2","00","0","26","18","0","8","3","1","56",
"20230210","00","148 ","0","1","00","0","17","0","0","2","0","0","19",
"20230210","00","148 ","0","2","00","0","81","4","3","3","1","7","99",
"20230210","00","148 ","1","1","00","0","11","0","0","1","0","1","13",
"20230210","00","148 ","1","2","00","0","98","2","0","7","3","5","115",
"20230210","00","149 ","0","1","00","0","16","0","0","0","0","0","16",
"20230210","00","149 ","0","2","00","0","142","7","6","2","3","10","170",
"20230210","00","149 ","1","1","00","0","18","0","0","0","0","5","23",
"20230210","00","149 ","1","2","00","0","133","6","4","1","3","12","159",
"20230210","00","150 ","0","1","00","0","23","0","0","2","0","1","26",
"20230210","00","150 ","0","2","00","0","169","6","3","2","0","11","191",
"20230210","00","150 ","1","1","00","0","32","1","0","0","0","1","34",
"20230210","00","150 ","1","2","00","0","234","3","9","2","3","13","264",
"20230210","00","151 ","0","1","00","0","2","0","0","2","0","0","4",
"20230210","00","151 ","0","2","00","0","52","3","2","4","5","4","70",
"20230210","00","151 ","1","1","00","0","10","1","1","2","2","0","16",
"20230210","00","151 ","1","2","00","0","72","3","4","9","12","3","103",
"20230210","00","152 ","0","1","00","0","10","0","0","0","0","0","10",
"20230210","00","152 ","0","2","00","0","63","2","2","12","8","2","89",
"20230210","00","152 ","1","1","00","0","25","0","1","2","0","4","32",
"20230210","00","152 ","1","2","00","0","112","7","3","14","12","3","151",
"20230210","00","153 ","0","1","00","0","12","0","0","0","1","1","14",
"20230210","00","153 ","0","2","00","0","47","6","4","4","5","4","70",
"20230210","00","153 ","1","1","00","0","20","0","0","1","4","1","26",
"20230210","00","153 ","1","2","00","0","95","3","10","14","7","4","133",
"20230210","00","154 ","0","1","00","0","2","0","0","0","0","0","2",
"20230210","00","154 ","0","2","00","0","23","3","1","0","0","1","28",
"20230210","00","154 ","1","1","00","0","4","0","0","0","0","1","5",
"20230210","00","154 ","1","2","00","0","30","1","0","2","0","0","33",
"20230210","00","155 ","0","1","00","0","3","0","0","1","0","0","4",
"20230210","00","155 ","0","2","00","0","14","2","1","2","1","0","20",
"20230210","00","155 ","1","1","00","0","2","0","2","1","0","1","6",
"20230210","00","155 ","1","2","00","0","15","3","8","0","3","1","30",
"20230210","00","156 ","0","1","00","0","2","0","0","6","0","0","8",
"20230210","00","156 ","0","2","00","0","18","4","6","14","8","0","50",
"20230210","00","156 ","1","1","00","0","4","0","1","4","3","0","12",
"20230210","00","156 ","1","2","00","0","24","3","3","10","11","0","51",
"20230210","00","157 ","0","1","00","0","1","0","0","0","0","0","1",
"20230210","00","157 ","0","2","00","0","11","2","1","3","2","0","19",
"20230210","00","157 ","1","1","00","0","1","0","2","2","0","0","5",
"20230210","00","157 ","1","2","00","0","17","1","0","0","2","0","20",
"20230210","00","158 ","0","1","00","0","7","0","0","1","1","0","9",
"20230210","00","158 ","0","2","00","0","24","7","2","5","9","1","48",
"20230210","00","158 ","1","1","00","0","11","0","1","4","0","3","19",
"20230210","00","158 ","1","2","00","0","41","4","8","6","4","0","63",
"20230210","00","159 ","0","1","00","0","10","0","0","0","0","1","11",
"20230210","00","159 ","0","2","00","0","26","3","2","2","5","0","38",
"20230210","00","159 ","1","1","00","0","6","0","0","0","0","1","7",
"20230210","00","159 ","1","2","00","0","37","2","2","3","3","1","48",
"20230210","00","160 ","0","2","00","0","12","1","1","4","4","0","22",
"20230210","00","160 ","1","1","00","0","3","0","0","0","0","0","3",
"20230210","00","160 ","1","2","00","0","11","2","0","4","0","1","18",
"20230210","00","161 ","0","2","00","0","1","0","0","0","0","0","1",
"20230210","00","161 ","1","2","00","0","3","0","0","0","0","1","4",
"20230210","00","162 ","0","2","00","0","9","0","1","2","0","0","12",
"20230210","00","162 ","1","1","00","0","2","0","0","2","0","0","4",
"20230210","00","162 ","1","2","00","0","13","1","0","1","5","1","21",
"20230210","00","163 ","0","1","00","0","2","0","0","2","0","0","4",
"20230210","00","163 ","0","2","00","0","23","0","0","17","4","2","46",
"20230210","00","163 ","1","1","00","0","1","0","0","1","0","0","2",
"20230210","00","163 ","1","2","00","0","16","1","2","2","5","1","27",
"20230210","00","164 ","0","1","00","0","0","0","0","2","0","0","2",
"20230210","00","164 ","0","2","00","0","5","1","0","4","0","0","10",
"20230210","00","164 ","1","1","00","0","4","0","0","1","0","0","5",
"20230210","00","164 ","1","2","00","0","11","1","0","2","1","0","15",
"20230210","00","165 ","0","1","00","0","0","0","0","1","0","0","1",
"20230210","00","165 ","0","2","00","0","2","1","0","0","0","1","4",
"20230210","00","165 ","1","1","00","0","1","0","0","0","0","0","1",
"20230210","00","165 ","1","2","00","0","5","0","0","0","0","0","5",
"20230210","00","166 ","0","1","00","0","5","0","0","0","0","0","5",
"20230210","00","166 ","0","2","00","0","10","3","1","1","2","0","17",
"20230210","00","166 ","1","1","00","0","4","0","0","0","0","0","4",
"20230210","00","166 ","1","2","00","0","11","4","1","1","6","1","24",
"20230210","00","167 ","0","1","00","0","5","0","0","6","1","0","12",
"20230210","00","167 ","0","2","00","0","143","12","6","8","7","2","178",
"20230210","00","167 ","1","1","00","0","13","0","0","5","1","4","23",
"20230210","00","167 ","1","2","00","0","192","11","10","18","7","5","243",
"20230210","00","168 ","0","1","00","0","1","0","0","0","0","0","1",
"20230210","00","168 ","0","2","00","0","4","0","0","3","0","0","7",
"20230210","00","168 ","1","1","00","0","1","0","0","1","0","0","2",
"20230210","00","168 ","1","2","00","0","9","0","0","3","0","0","12",
"20230210","00","169 ","0","1","00","0","1","0","0","2","0","0","3",
"20230210","00","169 ","0","2","00","0","3","0","0","1","0","0","4",
"20230210","00","169 ","1","1","00","0","0","0","0","1","0","0","1",
"20230210","00","169 ","1","2","00","0","7","2","1","2","0","1","13",
"20230210","00","170 ","0","1","00","0","0","1","0","2","0","0","3",
"20230210","00","170 ","0","2","00","0","1","1","0","2","0","1","5",
"20230210","00","170 ","1","1","00","0","0","0","0","2","0","0","2",
"20230210","00","170 ","1","2","00","0","3","0","0","2","0","0","5",
"20230210","00","171 ","0","2","00","0","20","1","8","2","0","0","31",
"20230210","00","171 ","1","1","00","0","4","0","0","0","0","1","5",
"20230210","00","171 ","1","2","00","0","60","8","6","5","1","3","83",
"20230210","00","172 ","0","1","00","0","16","2","0","0","0","0","18",
"20230210","00","172 ","0","2","00","0","90","19","5","6","4","5","129",
"20230210","00","172 ","1","1","00","0","15","0","0","2","0","1","18",
"20230210","00","172 ","1","2","00","0","142","4","1","10","3","12","172",
"20230210","00","173 ","0","1","00","0","18","1","5","3","0","0","27",
"20230210","00","173 ","0","2","00","0","252","60","3","16","21","10","362",
"20230210","00","173 ","1","1","00","0","7","2","0","2","1","2","14",
"20230210","00","173 ","1","2","00","0","181","43","6","19","22","8","279",
"20230210","00","174 ","0","1","00","0","11","0","0","1","0","0","12",
"20230210","00","174 ","0","2","00","0","44","4","2","3","2","6","61",
"20230210","00","174 ","1","1","00","0","12","1","0","0","0","2","15",
"20230210","00","174 ","1","2","00","0","93","4","2","5","0","4","108",
"20230210","00","175 ","0","1","00","0","23","2","1","4","0","0","30",
"20230210","00","175 ","0","2","00","0","162","28","3","15","10","12","230",
"20230210","00","175 ","1","1","00","0","7","8","0","2","0","0","17",
"20230210","00","175 ","1","2","00","0","50","11","4","10","13","1","89",
"20230210","00","176 ","0","1","00","0","8","0","1","10","2","0","21",
"20230210","00","176 ","0","2","00","0","74","13","2","37","24","1","151",
"20230210","00","176 ","1","1","00","0","6","0","0","4","1","1","12",
"20230210","00","176 ","1","2","00","0","53","11","4","20","22","2","112",
"20230210","00","177 ","0","1","00","0","4","0","0","0","0","0","4",
"20230210","00","177 ","0","2","00","0","25","0","0","5","1","2","33",
"20230210","00","177 ","1","1","00","0","1","0","0","0","0","1","2",
"20230210","00","177 ","1","2","00","0","25","0","0","6","7","1","39",
"20230210","00","178 ","0","1","00","0","1","1","0","1","0","0","3",
"20230210","00","178 ","0","2","00","0","26","4","2","9","3","1","45",
"20230210","00","178 ","1","1","00","0","4","0","0","2","0","0","6",
"20230210","00","178 ","1","2","00","0","33","2","1","8","2","4","50",
"20230210","00","179 ","0","1","00","0","6","1","0","0","1","0","8",
"20230210","00","179 ","0","2","00","0","26","3","1","3","1","4","38",
"20230210","00","179 ","1","1","00","0","1","0","0","0","0","0","1",
"20230210","00","179 ","1","2","00","0","33","2","2","2","1","3","43",
"20230210","00","180 ","0","1","00","0","5","0","0","2","0","0","7",
"20230210","00","180 ","0","2","00","0","21","5","1","11","6","0","44",
"20230210","00","180 ","1","1","00","0","10","0","1","5","0","1","17",
"20230210","00","180 ","1","2","00","0","19","4","0","16","8","0","47",
"20230210","00","181 ","0","2","00","0","7","0","0","4","0","1","12",
"20230210","00","181 ","1","1","00","0","1","0","0","0","0","0","1",
"20230210","00","181 ","1","2","00","0","9","2","0","3","3","1","18",
"20230210","00","182 ","0","1","00","0","1","0","0","0","0","0","1",
"20230210","00","182 ","0","2","00","0","9","0","0","4","0","0","13",
"20230210","00","182 ","1","1","00","0","3","0","0","1","0","0","4",
"20230210","00","182 ","1","2","00","0","10","0","0","0","0","1","11",
"20230210","00","183 ","0","1","00","0","2","0","0","0","0","0","2",
"20230210","00","183 ","0","2","00","0","8","0","0","1","1","0","10",
"20230210","00","183 ","1","1","00","0","1","0","0","0","0","0","1",
"20230210","00","183 ","1","2","00","0","18","1","0","2","1","0","22",
"20230210","00","184 ","0","2","00","0","13","0","1","0","0","1","15",
"20230210","00","184 ","1","1","00","0","4","0","0","0","0","0","4",
"20230210","00","184 ","1","2","00","0","37","0","0","0","0","2","39",
"20230210","00","185 ","0","2","00","0","5","0","0","0","0","0","5",
"20230210","00","185 ","1","2","00","0","10","0","0","0","1","0","11",
"20230210","00","186 ","0","2","00","0","2","0","0","0","0","1","3",
